campaign_id,campaign_name,platform,content_type,topic,audience_segment,publish_date,status
C001,AI Learning Launch,LinkedIn,Thought Leadership,AI in Learning,L&D Leaders,01-03-2026,Published
C002,Workflow Automation Demo,Instagram,Product Highlight,Marketing Automation,Startup Founders,02-03-2026,Published
C003,Webinar Invite HR,Email,Event Promotion,AI Assistants,HR Teams,03-03-2026,Published
C004,Client Success Story,Website,Case Study,Client Success,Enterprise Buyers,04-03-2026,Published
C005,Future of L&D Trends,LinkedIn,Educational Post,Future of L&D,Decision Makers,05-03-2026,Published
C006,AI Onboarding Toolkit,Email,Product Highlight,Onboarding Automation,HR Teams,06-03-2026,Published
C007,Founder Vision Post,LinkedIn,Thought Leadership,Startup Growth,Startup Founders,08-03-2026,Published
C008,Microlearning Best Practices,Website,Educational Post,Microlearning,L&D Leaders,09-03-2026,Published
C009,Live Demo Registration,Email,Event Promotion,Product Demo,Enterprise Buyers,10-03-2026,Published
C010,Feature Walkthrough Reel,Instagram,Product Highlight,Platform Features,Startup Founders,11-03-2026,Published
C011,Learning Analytics Case,Website,Case Study,Learning Analytics,Decision Makers,12-03-2026,Published
C012,Workforce Upskilling Post,LinkedIn,Educational Post,Upskilling,HR Teams,13-03-2026,Published
C013,AI Coaching Webinar,Email,Event Promotion,AI Coaching,L&D Leaders,15-03-2026,Published
C014,Customer Transformation Story,Website,Case Study,Digital Transformation,Enterprise Buyers,16-03-2026,Published
C015,Product Benefit Snapshot,Instagram,Product Highlight,Product Value,Decision Makers,17-03-2026,Published
C016,Learning ROI Insights,LinkedIn,Thought Leadership,Learning ROI,Enterprise Buyers,18-03-2026,Published
C017,Training Content Checklist,Website,Educational Post,Training Design,HR Teams,19-03-2026,Published
C018,Demo Follow-up Invite,Email,Event Promotion,Follow-up Demo,Startup Founders,20-03-2026,Published
C019,AI Adoption Myths,LinkedIn,Educational Post,AI Adoption,L&D Leaders,22-03-2026,Published
C020,Before After Success Reel,Instagram,Case Study,Customer Results,Startup Founders,23-03-2026,Published
C021,Executive Roundtable Invite,Email,Event Promotion,Executive Roundtable,Decision Makers,24-03-2026,Published
C022,Knowledge Assistant Showcase,Website,Product Highlight,Knowledge Assistant,Enterprise Buyers,25-03-2026,Published
C023,Leadership Perspective Post,LinkedIn,Thought Leadership,Leadership Enablement,Decision Makers,26-03-2026,Published
C024,Content Automation Guide,Website,Educational Post,Content Automation,Startup Founders,27-03-2026,Published
C025,AI Readiness Poll,LinkedIn,Thought Leadership,AI Readiness,HR Teams,29-03-2026,Published
C026,Customer Journey Carousel,Instagram,Educational Post,Customer Journey,Startup Founders,30-03-2026,Published
C027,Workshop Signup Blast,Email,Event Promotion,Workshop Signup,L&D Leaders,31-03-2026,Published
C028,Buyer Enablement Story,Website,Case Study,Buyer Enablement,Enterprise Buyers,01-04-2026,Published
C029,Data-Driven L&D Tips,LinkedIn,Educational Post,Data-Driven L&D,Decision Makers,02-04-2026,Published
C030,Platform Tour Snippet,Instagram,Product Highlight,Platform Tour,HR Teams,03-04-2026,Published
C031,Automation Masterclass Invite,Email,Event Promotion,Automation Masterclass,Startup Founders,05-04-2026,Published
C032,Implementation Snapshot,Website,Product Highlight,Implementation Journey,Enterprise Buyers,06-04-2026,Published
C033,Skills Gap Insights,LinkedIn,Thought Leadership,Skills Gap,HR Teams,07-04-2026,Published
C034,Learning Strategy Framework,Website,Educational Post,Learning Strategy,L&D Leaders,08-04-2026,Published
C035,Product Impact Reel,Instagram,Case Study,Product Impact,Decision Makers,09-04-2026,Published
C036,Quarterly Demo Invite,Email,Event Promotion,Quarterly Demo,Enterprise Buyers,10-04-2026,Published
C037,AI Governance Take,LinkedIn,Thought Leadership,AI Governance,Decision Makers,12-04-2026,Published
C038,Playbook Download Page,Website,Educational Post,Playbook Download,Startup Founders,13-04-2026,Published
C039,Feature Launch Countdown,Instagram,Product Highlight,Feature Launch,Startup Founders,14-04-2026,Published
C040,Decision Support Webinar,Email,Event Promotion,Decision Support,L&D Leaders,15-04-2026,Published
C041,Case Study Enterprise Rollout,Website,Case Study,Enterprise Rollout,Enterprise Buyers,17-04-2026,Published
C042,People Analytics Post,LinkedIn,Educational Post,People Analytics,HR Teams,18-04-2026,Published
C043,ROI Calculator Launch,Website,Product Highlight,ROI Calculator,Decision Makers,19-04-2026,Published
C044,Storytelling in L&D,LinkedIn,Thought Leadership,Storytelling,L&D Leaders,20-04-2026,Published
C045,Quick Wins Carousel,Instagram,Educational Post,Quick Wins,Startup Founders,21-04-2026,Published
C046,Leadership AMA Invite,Email,Event Promotion,Leadership AMA,Decision Makers,22-04-2026,Published
C047,Customer Adoption Snapshot,Website,Case Study,Customer Adoption,HR Teams,24-04-2026,Published
C048,Future of Work Insight,LinkedIn,Thought Leadership,Future of Work,Enterprise Buyers,25-04-2026,Published
